0.0,-14940.0,-1968.0,-4396.0,31.35
0.01,-14932.0,-1988.0,-4464.0,31.4
0.01,-14936.0,-2016.0,-4420.0,31.31
0.04,-14908.0,-2064.0,-4596.0,31.4
0.07,-14940.0,-1976.0,-4344.0,31.35
0.1,-14896.0,-1980.0,-4508.0,31.4
0.14,-14944.0,-2012.0,-4380.0,31.35
0.17,-14976.0,-1892.0,-4436.0,31.4
0.2,-14880.0,-2108.0,-4284.0,31.4
0.24,-14916.0,-2000.0,-4312.0,31.35
0.27,-14932.0,-2060.0,-4500.0,31.4
0.3,-14896.0,-2076.0,-4332.0,31.45
0.34,-14908.0,-1900.0,-4360.0,31.4
0.37,-14836.0,-2052.0,-4416.0,31.45
0.4,-14896.0,-2052.0,-4460.0,31.4
0.44,-14996.0,-2084.0,-4436.0,31.4
0.47,-14960.0,-2084.0,-4500.0,31.45
0.5,-14908.0,-1968.0,-4364.0,31.4
0.54,-14892.0,-1944.0,-4456.0,31.45
0.57,-14912.0,-2036.0,-4428.0,31.45
0.6,-14964.0,-1988.0,-4292.0,31.4
0.64,-15028.0,-1976.0,-4372.0,31.45
0.67,-14972.0,-1960.0,-4516.0,31.4
0.7,-14916.0,-2020.0,-4428.0,31.45
0.74,-15008.0,-1948.0,-4384.0,31.4
0.77,-14872.0,-2028.0,-4544.0,31.4
0.8,-14908.0,-1884.0,-4520.0,31.4
0.84,-14896.0,-2056.0,-4352.0,31.4
0.87,-14848.0,-2036.0,-4664.0,31.45
0.9,-14908.0,-2008.0,-4340.0,31.4
0.93,-14936.0,-2124.0,-4352.0,31.45
0.97,-15000.0,-1944.0,-4464.0,31.4
1.0,-14940.0,-2040.0,-4428.0,31.49
1.03,-14952.0,-1940.0,-4416.0,31.45
1.07,-14872.0,-1960.0,-4376.0,31.4
1.1,-14916.0,-2020.0,-4360.0,31.35
1.13,-14964.0,-1912.0,-4512.0,31.4
1.17,-14892.0,-1996.0,-4428.0,31.45
1.2,-14908.0,-2080.0,-4468.0,31.35
1.23,-14936.0,-2072.0,-4476.0,31.4
1.27,-14948.0,-1988.0,-4364.0,31.45
1.3,-14968.0,-2036.0,-4300.0,31.4
1.33,-14924.0,-1980.0,-4372.0,31.35
1.37,-14928.0,-2072.0,-4488.0,31.45
1.4,-14972.0,-2072.0,-4436.0,31.4
1.43,-14940.0,-1956.0,-4508.0,31.45
1.47,-15012.0,-1968.0,-4432.0,31.4
1.5,-14972.0,-1920.0,-4460.0,31.35
1.53,-14948.0,-2088.0,-4448.0,31.45
1.57,-14900.0,-2104.0,-4368.0,31.4
1.6,-14940.0,-1988.0,-4368.0,31.45
1.63,-14828.0,-2028.0,-4420.0,31.4
1.67,-14852.0,-2000.0,-4368.0,31.45
1.7,-14864.0,-1984.0,-4428.0,31.45
1.73,-14916.0,-2020.0,-4396.0,31.4
1.77,-14832.0,-2060.0,-4496.0,31.45
1.8,-14940.0,-2044.0,-4364.0,31.4
1.83,-14948.0,-1932.0,-4348.0,31.35
1.87,-14936.0,-2048.0,-4396.0,31.49
1.9,-15004.0,-2040.0,-4424.0,31.31
1.93,-14860.0,-1976.0,-4576.0,31.35
1.97,-14968.0,-2052.0,-4428.0,31.4
